Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
23426187430,"Mawar Potong fresh 1 ikat isi 25 tangkai. bahan dekorasi/buket. - Putih, 1 ikat",117957645957,"1 ikat,Pink candy",,new21feb2023_16,69000,,1986,,,,,,
23426187430,"Mawar Potong fresh 1 ikat isi 25 tangkai. bahan dekorasi/buket. - Putih, 1 ikat",117957645959,"1 ikat,Pink soft",,new21feb2023_22,69000,,1993,,,,,,
23426187430,"Mawar Potong fresh 1 ikat isi 25 tangkai. bahan dekorasi/buket. - Putih, 1 ikat",247674595725,"1 ikat,kuning",,,69000,,1998,,,,,,
23426187430,"Mawar Potong fresh 1 ikat isi 25 tangkai. bahan dekorasi/buket. - Putih, 1 ikat",117957645953,"1 ikat,Merah",,new21feb2023_17,69000,,1928,,,,,,
23420739023,Pupuk NPK Mutiara Kemasan botol repack. 150gr.,193764769827,,tbh26jan2023_19,,9000,,660,0,,,,,
23320739200,Tanaman hias bunga cucak rowo,220819951504,,tbh28jan2023_2,,29000,,999,0,,,,,
23320739088,Tanaman Philodendron pink Princess koleksi,213764767646,,tbh28jan2023_3,,79900,,999,0,,,,,
23302568063,Tanaman hias vinca merah,182942428702,,,,16200,,995,0,,,,,
23301811874,Tanaman Hias indoor Mosntera Borsigiana ukuran S dan XL - XXL,192872809009,XXL,,,99000,,999,0,,,,,
23301811874,Tanaman Hias indoor Mosntera Borsigiana ukuran S dan XL - XXL,192872809008,S,,,45000,,999,,,,,,
23301811701,Tanaman hias Euonymus Javonicus atau Havana Hijau,126981391126,,,,23000,,999,0,,,,,
23220739286,Tanaman Hias Alocasia Black Velvet atau Alokasia BlackVelvet,230819953270,,tbh28jan2023_6,,59200,,999,0,,,,,
23220737482,Tanaman Peperomia Rain Drop hijau,175508408005,,tbh28jan2023_9,,31500,,999,0,,,,,
23220737351,Tanaman Hias sultan Monstera Variegata 2 daun plus,220819954820,,tbh28jan2023_12,,199000,,999,0,,,,,
23202568268,Tanaman hias vinca ungu,212942426298,,,,17910,,998,0,,,,,
23201811650,Tanaman Vinca gantung aneka warna bebas pilih - Maroon,126981388698,Maroon,,,17500,,999,0,,,,,
23201811650,Tanaman Vinca gantung aneka warna bebas pilih - Maroon,126981388699,BlackberyExotic,,,17500,,999,,,,,,
23201811650,Tanaman Vinca gantung aneka warna bebas pilih - Maroon,126981388700,Pink,,,17500,,999,,,,,,
23201811650,Tanaman Vinca gantung aneka warna bebas pilih - Maroon,126981388701,White,,,17500,,999,,,,,,
23120739794,Bbit anggrek bulan botol isi 20 plus bibit,183764771478,,tbh28jan2023_tbh28jan2023_1313,,69000,,938,0,,,,,
